角色ID,模組1分數,模組2分數,模組3分數,模組1等第,模組2等第,模組3等第
716,5.0806,6.4442,4.4517,B,B,C
720,4.4231,4.4392,,C,C,
723,6.0137,7.2006,5.4056,B,A,B
724,5.303,,,B,,
726,5.0779,,4.7354,B,,B
734,5.7485,,,B,,
737,6.4664,,5.0653,B,,B
738,5.7373,8.175,7.9571,B,S,S
747,5.4307,8.2714,,B,S,
748,5.1294,8.175,,B,S,
749,5.536,4.7473,4.8953,B,B,B
750,7.0155,7.6782,,A,S,
755,4.9975,,4.2582,B,,C
759,7.0333,8.1789,8.6432,A,S,S
760,5.516,5.0579,4.8152,B,B,B
761,3.4334,4.9323,7.0449,C,B,A
763,5.8424,6.388,4.4532,B,B,C
764,3.4297,5.0579,,C,B,
769,6.3603,5.2063,,B,B,
770,4.6678,4.6966,4.1849,B,B,C
773,3.8747,7.6123,7.2116,C,S,A
775,4.2608,,5.6451,C,,B
778,6.1907,,3.9454,B,,C
779,6.447,,6.5539,B,,A
780,7.2707,8.7205,7.6601,A,S,S
782,3.5616,,5.4932,C,,B
784,7.7316,,5.9022,S,,B
787,5.2155,4.161,,B,C,
788,6.1121,7.3627,6.7906,B,A,A
790,4.8705,,6.2427,B,,B
791,5.7163,6.6846,5.5514,B,A,B
792,8.2099,8.5264,8.7511,S,S,S
794,5.0595,,,B,,
800,4.3738,,4.1392,C,,C
804,6.4543,5.0579,4.6057,B,B,B
805,5.6763,,6.735,B,,A
807,5.2949,5.4255,,B,B,
811,7.7761,8.9595,8.3194,S,S,S
812,5.4345,,,B,,
815,6.1006,,4.5396,B,,B
818,6.0484,4.9323,6.1877,B,B,B
825,5.3296,6.1573,4.6428,B,B,B
827,6.7683,8.2769,,A,S,
828,6.0559,4.7473,6.6223,B,B,A
831,5.7439,7.4253,8.1033,B,A,S
837,5.0744,8.3049,4.7227,B,S,B
838,6.3723,7.1668,6.5004,B,A,A
841,5.9058,4.7473,,B,B,
842,7.5454,,7.4991,S,,A
843,5.7569,8.175,,B,S,
844,7.1057,6.4819,6.3634,A,B,B
845,5.618,7.5598,6.6043,B,S,A
846,6.3308,,,B,,
847,6.1044,4.9323,6.1451,B,B,B
851,6.5862,,4.1747,A,,C
860,6.2079,8.0787,7.1317,B,S,A
449,6.8454,8.121,8.3505,A,S,S
450,6.0456,6.1573,,B,B,
451,5.4517,6.1573,5.961,B,B,B
452,5.7824,6.5407,,B,A,
456,6.388,,4.2275,B,,C
462,5.1157,,5.4932,B,,B
464,5.8698,8.6894,,B,S,
467,5.481,7.0353,6.7062,B,A,A
479,6.5768,8.2769,,A,S,
482,6.0501,4.9323,,B,B,
494,5.5786,5.8243,,B,B,
511,6.4946,7.0353,,B,A,
545,6.024,6.3543,,B,B,
587,2.9338,,4.0185,C,,C
732,7.4948,5.8243,6.243,A,B,B
739,6.2162,7.0353,8.3483,B,A,S
816,5.9034,7.4476,7.0027,B,A,A
