ID,名字,稀有度,綜合評分,綜合等第,真實評分,真實等第,預測評分,預測等第
649,恋愛番長・鬼神にゃんま,SSR,3.26,A,,,3.26,A
530,祝祭の聖女キャスリィ,SSR,3.25,A,3.25,A,,
440,Gクロノストリガー,SSR,3.25,A,3.25,A,,
415,エヴァ改2号機コード777,SSR,3.25,A,3.25,A,,
414,決意のエヴァ初号機＆ネコ,SSR,3.25,A,3.25,A,,
334,皇獣ガオウダーク,SSR,3.25,A,3.25,A,,
548,白天姫のレイ,SSR,3.2,B,,,3.2,B
091,SSS猿王,SSR,3.18,B,,,3.18,B
860,晦月の騎士ダークルーノス,SSR,3.16,B,,,3.16,B
187,コーネリアCC,SSR,3.15,B,,,3.15,B
338,プレミアムケリ姫号CC,SSR,3.15,B,,,3.15,B
711,エヴァ第13号機＆ネコ,SSR,3.13,B,,,3.13,B
225,ゴールデンモーデンCC,SSR,3.11,B,,,3.11,B
449,無双の剣神・宮本武蔵,SSSR,3.1,B,3.1,B,,
545,京坂七穂・真,SSSR,3.1,B,3.1,B,,
073,憤怒の武神・前田慶次,SSR,3.1,B,3.1,B,,
511,豪鬼CC,SSSR,3.1,B,3.1,B,,
242,雪妖精のスノーカイμ,SSR,3.08,B,,,3.08,B
226,ハイ・ドゥ MK III CC,SSR,3.06,B,,,3.06,B
779,魔法結社にゃんこ☆マギカ,SSR,3.05,B,,,3.05,B
439,灼熱のビーチクウγ,SSR,3.02,B,,,3.02,B
272,Gテラアマテラス,SSR,3.0,B,3.0,B,,
159,毘沙門軍神・上杉謙信,SSR,3.0,B,3.0,B,,
699,ライトニングジャック,SSR,3.0,B,3.0,B,,
739,宵闇のイザナミ,SSSR,3.0,B,3.0,B,,
120,ニャイバーン＆アレク,SSR,3.0,B,3.0,B,,
107,召し猪のカイμ,SSR,3.0,B,3.0,B,,
307,極飛行戦艦ボルボンバー,SSR,3.0,B,3.0,B,,
788,寂滅の天女ダークルナーシャ,SSR,3.0,B,3.0,B,,
464,極秘研究機関パンドラ,SSSR,3.0,B,3.0,B,,
816,落月のシ者カヲル,SSSR,3.0,B,3.0,B,,
650,絶影の忍神・服部半蔵,SSR,3.0,B,3.0,B,,
648,大狩猟娘テルンζ,SSR,3.0,B,3.0,B,,
658,哀悼の舞姫ダークイズ,SSR,3.0,B,3.0,B,,
402,天雷の精霊王ギガボルト,SSR,3.0,B,3.0,B,,
626,ゲキオコパサラン,SSR,3.0,B,3.0,B,,
469,ヘッドロココ,SSR,3.0,B,3.0,B,,
507,無名のアイウォルツCC,SSR,3.0,B,3.0,B,,
213,スペクトルキャット,SSR,3.0,B,3.0,B,,
634,大妖怪結社チュンチュン,SSR,3.0,B,3.0,B,,
693,鬼襲戦艇コヅチマル,SSR,3.0,B,3.0,B,,
684,吸血鬼公爵・真田幸村,SSR,3.0,B,3.0,B,,
398,天誅Z・風隼さくら,SSR,3.0,B,3.0,B,,
838,満月の騎士ルーノス,SSR,3.0,B,,,3.0,B
074,夢幻天魔・織田信長,SSR,3.0,B,3.0,B,,
479,夢幻の精霊ルミナリア,SSSR,3.0,B,3.0,B,,
550,第6のネコ使徒,SSR,3.0,B,3.0,B,,
595,超輸送兵団アトランチス,SSR,3.0,B,3.0,B,,
418,超地底戦隊グランドン,SSR,3.0,B,3.0,B,,
608,伝説の冒険少女カンナ,SSR,3.0,B,3.0,B,,
178,大覇龍皇帝ディオラムス,SSR,3.0,B,3.0,B,,
346,午睡のミシェリアCC,SSR,3.0,B,3.0,B,,
317,Gポセイドラグーン,SSR,3.0,B,3.0,B,,
710,碧眼の魔女アスカ,SSR,3.0,B,3.0,B,,
713,カオランタタラン,SSR,3.0,B,3.0,B,,
737,ネコアイストップスター,SSR,2.99,B,,,2.99,B
394,サンバ新島早紀CC,SSR,2.97,B,,,2.97,B
769,たいてんきCC,SSR,2.92,B,,,2.92,B
468,スーパーSゼウス,SSR,2.92,B,,,2.92,B
368,ライダーCC,SSR,2.92,B,,,2.92,B
723,初音ミクCC 16th,SSR,2.92,B,,,2.92,B
804,ソニック＆ネコ,SSR,2.92,B,,,2.92,B
549,第4のネコ使徒,SSR,2.9,B,,,2.9,B
067,KHM46,SSR,2.85,B,,,2.85,B
851,蛇神・風魔小太郎,SSR,2.85,B,,,2.85,B
536,初音ミクCC,SSR,2.85,B,,,2.85,B
561,巡音ルカCC,SSR,2.83,B,,,2.83,B
327,奇跡の調和メビウス,SSR,2.83,B,,,2.83,B
738,スプリングXカリファ,SSR,2.82,B,,,2.82,B
291,さやか＆ネコ,SSR,2.82,B,,,2.82,B
715,大海原のダイバーカンナ,SSR,2.8,B,,,2.8,B
162,大狂乱のケリ姫,SSR,2.76,B,,,2.76,B
845,冨岡義勇CC,SSR,2.76,B,,,2.76,B
846,胡蝶しのぶCC,SSR,2.76,B,,,2.76,B
413,エヴァ零号機＆ネコ,SSR,2.75,B,2.75,B,,
828,ジュリCC,SSR,2.75,B,,,2.75,B
452,巨大神兵ベンケイ,SSSR,2.75,B,2.75,B,,
535,Gデスハーデス,SSR,2.75,B,2.75,B,,
700,決闘王者ラビットサトル,SSR,2.74,B,,,2.74,B
688,トナカイ娘テルンζ,SSR,2.73,B,,,2.73,B
487,剣士ひな,SSR,2.73,B,,,2.73,B
831,獅子番長ラクレスΣ,SSR,2.73,B,,,2.73,B
645,LOVEミントメカ子,SSR,2.71,B,,,2.71,B
483,幸せを願ったネコ耳ソウマ,SSR,2.71,B,,,2.71,B
847,煉獄杏寿郎CC,SSR,2.7,B,,,2.7,B
564,アクアブラスター・サキ,SSR,2.69,B,,,2.69,B
486,カレットCC,SSR,2.68,B,,,2.68,B
841,竈門炭治郎CC,SSR,2.64,B,,,2.64,B
583,初音ミクCC マジカルミライ2020大阪,SSR,2.6,B,,,2.6,B
482,時空科学者アビス博士,SSSR,2.6,B,2.6,B,,
818,樹木の精霊モリリン,SSR,2.6,B,,,2.6,B
363,セイバーオルタCC,SSR,2.6,B,2.6,B,,
763,ギガント全能神スーパーゼウス,SSR,2.59,B,,,2.59,B
815,エヴァネコ量産機,SSR,2.58,B,,,2.58,B
189,寂救のミスティカCC,SSR,2.56,B,,,2.56,B
495,潮風のセーラーカッパーκ,SSR,2.55,B,,,2.55,B
086,竜騎士皇帝バルス,SSR,2.52,B,,,2.52,B
379,黒蝶のミタマダーク,SSR,2.5,B,2.5,B,,
365,未知角色,SSR,2.5,B,,,,
722,未知角色,SSR,2.5,B,3.0,B,,
728,未知角色,SSR,2.5,B,,,,
673,未知角色,SSR,2.5,B,,,,
681,未知角色,SSR,2.5,B,,,,
757,未知角色,SSR,2.5,B,,,,
806,未知角色,SSR,2.5,B,,,,
293,未知角色,SSR,2.5,B,,,,
043,ネコアイスクリスタル,SSR,2.5,B,2.5,B,,
060,ネコベビーワールド,SSR,2.5,B,2.5,B,,
793,未知角色,SSR,2.5,B,,,,
335,未知角色,SSR,2.5,B,,,,
712,未知角色,SSR,2.5,B,,,,
574,バルログCC,SSR,2.5,B,,,2.5,B
572,未知角色,SSR,2.5,B,,,,
514,未知角色,SSR,2.5,B,,,,
597,未知角色,SSR,2.5,B,,,,
601,未知角色,SSR,2.5,B,,,,
515,未知角色,SSR,2.5,B,,,,
512,未知角色,SSR,2.5,B,,,,
188,休日の騎士様ユーヴェンスCC,SSR,2.5,B,2.5,B,,
471,未知角色,SSR,2.5,B,,,,
470,未知角色,SSR,2.5,B,1.0,C,,
517,未知角色,SSR,2.5,B,,,,
244,未知角色,SSR,2.5,B,,,,
467,闇次神子ブラックゼウス,SSSR,2.5,B,2.5,B,,
556,未知角色,SSR,2.5,B,,,,
450,神聖会長ジャンヌダルクψ,SSSR,2.5,B,2.5,B,,
821,未知角色,SSR,2.5,B,,,,
186,革命のハルシュトCC,SSR,2.49,B,,,2.49,B
843,我妻善逸CC,SSR,2.44,B,,,2.44,B
416,ネコトウジ＆ネコケンスケ,SSR,2.43,B,,,2.43,B
805,テイルス＆ネコ,SSR,2.43,B,,,2.43,B
575,サガットCC,SSR,2.4,B,,,2.4,B
230,ウィンディスイートα,SSR,2.36,B,,,2.36,B
778,冬大将軍・成田甲斐,SSR,2.36,B,,,2.36,B
237,軍神オーディンCC,SSR,2.35,B,,,2.35,B
271,狂乱のネコ耳ユキ,SSR,2.35,B,,,2.35,B
275,トロピカルXカリファ,SSR,2.29,B,,,2.29,B
791,烈海王CC,SSR,2.29,B,,,2.29,B
231,デビルサンディアβ,SSR,2.29,B,,,2.29,B
591,雪ミクCC 2021,SSR,2.27,B,,,2.27,B
734,鉄籠のペガサν,SSR,2.27,B,,,2.27,B
270,皇獣ガオウ,SSR,2.25,B,2.25,B,,
292,マミ＆ネコ,SSR,2.25,B,2.25,B,,
135,竜宮超獣キングガメレオン,SSR,2.25,B,2.25,B,,
667,ナイトビーチリリンπ,SSR,2.22,C,,,2.22,C
516,ブランカCC,SSR,2.2,C,2.2,C,,
513,春麗CC,SSR,2.2,C,2.2,C,,
441,円環の理の使者なぎさ,SSR,2.17,C,,,2.17,C
396,野球マン5号CC,SSR,2.17,C,,,2.17,C
694,黒執事探偵グラヴィー,SSR,2.13,C,,,2.13,C
527,冬天使のシシル＆コマリΦ,SSR,2.13,C,,,2.13,C
331,上杉謙信・春うらら,SSR,2.12,C,,,2.12,C
347,とどめきCC,SSR,2.11,C,,,2.11,C
243,サンタのメリークウγ,SSR,2.1,C,,,2.1,C
395,暗黒スバルCC,SSR,2.1,C,,,2.1,C
662,ウェディングクロノス,SSR,2.1,C,,,2.1,C
598,天道あかね(道着),SSR,2.07,C,,,2.07,C
364,遠坂 凛CC,SSR,2.05,C,,,2.05,C
747,緋村剣心CC,SSR,2.04,C,,,2.04,C
749,四乃森蒼紫CC,SSR,2.04,C,,,2.04,C
661,海龍皇帝ダライアサン,SSR,2.0,C,2.0,C,,
620,大賢女リリンπ,SSR,2.0,C,2.0,C,,
489,神殺しの船NNNネコヴンダー,SSR,2.0,C,2.0,C,,
571,ハロウィンナイトバルス,SSR,2.0,C,2.0,C,,
534,バッドブラスター・サキ,SSR,2.0,C,2.0,C,,
323,超音楽奏サルカニフェス,SSR,2.0,C,2.0,C,,
337,黄金のミイラ姫レイカ,SSR,2.0,C,2.0,C,,
397,古龍皇帝ガングリオン,SSR,2.0,C,2.0,C,,
457,黒桜CC,SSR,2.0,C,2.0,C,,
642,魅惑の舞姫イズ,SSR,2.0,C,2.0,C,,
643,Gグランドルシファー,SSR,2.0,C,2.0,C,,
289,アルティメットまどか,SSR,2.0,C,2.0,C,,
359,満腹の花嫁ヴェルヴェーヌ,SSR,2.0,C,2.0,C,,
108,光宝杖のカッパーκ,SSR,2.0,C,2.0,C,,
260,Gメガロディーテ,SSR,2.0,C,2.0,C,,
044,ネコマシン・滅,SSR,2.0,C,2.0,C,,
488,エヴァ8号機＆ネコ,SSR,2.0,C,2.0,C,,
760,サマーフェスサンディアβ,SSR,1.99,C,,,1.99,C
773,ソドム・オー・ランタン,SSR,1.79,C,,,1.79,C
807,シャドウ＆ネコ,SSR,1.77,C,,,1.77,C
494,ゴッドガイア,SSSR,1.75,C,1.75,C,,
085,聖龍皇帝メギドラ,SSR,1.75,C,1.75,C,,
058,ネコパラディン,SSR,1.75,C,1.75,C,,
160,冥界のXXカリファ,SSR,1.75,C,1.75,C,,
812,スカンダゼタ,SSR,1.74,C,,,1.74,C
369,ギルガメッシュCC,SSR,1.74,C,,,1.74,C
615,南国衛星スーパーシャイン,SSR,1.7,C,,,1.7,C
531,エルメCC,SSR,1.7,C,,,1.7,C
748,相楽左之助CC,SSR,1.7,C,,,1.7,C
181,謎のネコ耳少女ユキ,SSR,1.67,C,,,1.67,C
825,炎の大魔導師シドミ,SSR,1.67,C,,,1.67,C
342,失われし世界のネコ耳ユキ,SSR,1.66,C,,,1.66,C
787,イリュージョンキャットマン,SSR,1.65,C,,,1.65,C
276,ブライトサマーキャット,SSR,1.63,C,,,1.63,C
538,鏡音リン＆レンCC,SSR,1.62,C,,,1.62,C
311,ネコナースサンタマリア,SSR,1.62,C,,,1.62,C
351,ネコニセたま軍団,SSR,1.62,C,,,1.62,C
537,桜ミクCC,SSR,1.6,C,,,1.6,C
436,ちびネコヴァルキリー・華,SSR,1.6,C,1.6,C,,
224,ゴールデンジュピターCC,SSR,1.6,C,,,1.6,C
290,悪魔ほむら,SSR,1.53,C,,,1.53,C
417,ファーストムーンネルフ,SSR,1.5,C,,,1.5,C
366,アーチャーCC,SSR,1.5,C,1.5,C,,
451,天魔城龍バベル,SSSR,1.5,C,1.5,C,,
456,キューティー・モモコ,SSSR,1.5,C,1.5,C,,
672,早乙女らんま(チアガール),SSR,1.49,C,,,1.49,C
837,超グレートニャンコオーDX,SSR,1.47,C,,,1.47,C
485,黒ちびネコヴァルキリー・紅,SSR,1.45,C,1.45,C,,
381,英傑ダルターニャ,SSR,1.45,C,1.45,C,,
197,キャットマンライジング,SSR,1.45,C,1.45,C,,
552,第9のネコ使徒,SSR,1.32,C,,,1.32,C
588,メガショコラディーテ,SSR,1.28,C,,,1.28,C
576,ベガCC,SSR,1.27,C,,,1.27,C
599,響良牙,SSR,1.27,C,,,1.27,C
137,爆走兄弟ピーチジャスティス,SSR,1.25,C,1.25,C,,
262,滅殺ハヤブサ,SSR,1.25,C,1.25,C,,
175,太平洋の主,SSR,1.23,C,,,1.23,C
794,ジャック・ハンマーCC,SSR,1.23,C,,,1.23,C
790,範馬刃牙CC,SSR,1.22,C,,,1.22,C
526,超銃戦隊キンレンジャー,SSR,1.2,C,1.2,C,,
551,第10のネコ使徒,SSR,1.14,C,,,1.14,C
589,初恋令嬢メルシュξ,SSR,1.11,C,,,1.11,C
352,双輝星のシシル＆コマリΦ,SSR,1.0,C,1.0,C,,
724,Gネフェルイシス,SSR,1.0,C,1.0,C,,
770,暴食怪樹オオザクラ,SSR,1.0,C,1.0,C,,
126,猛牛の武神・武田信玄,SSR,1.0,C,1.0,C,,
800,迎撃砲隊ガンハウザー,SSR,1.0,C,1.0,C,,
088,竜戦機皇帝ライデン,SSR,1.0,C,1.0,C,,
144,ジョイフルねこナース,SSR,1.0,C,1.0,C,,
428,ネコクエストヘブン,SSR,1.0,C,1.0,C,,
619,怨嗟の魔神・天草四郎,SSR,1.0,C,1.0,C,,
613,ネコ女王,SSR,1.0,C,1.0,C,,
584,初音ミクCC マジカルミライ2020東京,SSR,1.0,C,1.0,C,,
586,帝獣ガルディアン,SSR,1.0,C,1.0,C,,
506,角龍皇帝グラディオス,SSR,1.0,C,1.0,C,,
610,帝獣ダークガルディアン,SSR,1.0,C,1.0,C,,
656,氷結の精霊王ブリザレーナ,SSR,1.0,C,1.0,C,,
720,鋼鉄の精霊王ガンテツカッチン,SSR,1.0,C,1.0,C,,
687,来光の女神シリウス,SSR,1.0,C,1.0,C,,
683,虚影の加護女神ベガ,SSR,1.0,C,1.0,C,,
682,ルークCC,SSR,1.0,C,1.0,C,,
635,神魔騎士キュクロプス,SSR,1.0,C,1.0,C,,
632,暗黒の精霊王ヤミノワールド,SSR,1.0,C,1.0,C,,
669,大神仙ネコ天狗,SSR,1.0,C,1.0,C,,
367,ランサーCC,SSR,1.0,C,1.0,C,,
356,超時空基地アルマゲドン,SSR,1.0,C,1.0,C,,
084,地龍皇帝ソドム,SSR,0.95,C,0.95,C,,
462,レジェランパサラン,SSSR,0.8,C,0.8,C,,
090,帰化型ニムエ,SSR,0.77,C,,,0.77,C
565,ファビュラスパサラン,SSR,0.73,C,,,0.73,C
125,邪眼竜の武神・伊達政宗,SSR,0.7,C,0.7,C,,
241,デイダラトゲラン,SSR,0.7,C,0.7,C,,
775,ダーティー・アクセル,SSR,0.7,C,0.7,C,,
503,絢爛令嬢メルシュξ,SSR,0.7,C,0.7,C,,
497,豪炎姫の武神・成田甲斐,SSR,0.7,C,0.7,C,,
621,邪龍皇帝ヘヴィジャーク,SSR,0.7,C,0.7,C,,
761,砲龍王ガンドロス,SSR,0.7,C,0.7,C,,
726,食道楽忍者トモエ,SSR,0.7,C,0.7,C,,
716,超突撃部隊コンボーイズ,SSR,0.7,C,0.7,C,,
675,超奇襲怪光エンヴァンズ,SSR,0.7,C,0.7,C,,
361,流水の大精霊ミズマリナーデ,SSR,0.7,C,0.7,C,,
755,武神・明智光秀,SSR,0.7,C,0.7,C,,
339,燐火の武神・今川義元,SSR,0.7,C,0.7,C,,
258,Gギガントゼウス,SSR,0.4,C,0.4,C,,
087,神龍皇帝かむくら,SSR,0.4,C,0.4,C,,
172,ピカランバララン,SSR,0.4,C,0.4,C,,
204,豪炎狙撃車ウーウー,SSR,0.4,C,0.4,C,,
170,E・クビランパサラン,SSR,0.4,C,0.4,C,,
358,道化の狼姫ディル,SSR,0.4,C,0.4,C,,
764,メカ・ネコダイナザウルス,SSR,0.4,C,0.4,C,,
782,マモランパサラン,SSR,0.4,C,0.4,C,,
587,ネコ国王,SSSR,0.4,C,0.4,C,,
596,神春龍王かむくら,SSR,0.38,C,,,0.38,C
437,ノビランターバン,SSR,0.1,C,0.1,C,,
169,アタタタアシラン,SSR,0.1,C,0.1,C,,
547,スケランカクラン,SSR,0.1,C,0.1,C,,
035,ウルトラケサラン,SSR,0.1,C,0.1,C,,
